Invoice Date,Invoice Number,Invoice Status,Customer Name,SKU,Quantity,Item Price,Invoice Line Amount,Notes,Reference Number,row_id,merchant_order_id,Validation_Flag,settlement_id
2025-09-13,AMZN0566651,Draft,Amazon.ca,SALTT15-ALLT,1.0,34.99,34.99,Order 701-5738750-0566651-24495221541_702,24495221541,702,701-5738750-0566651,Valid,24495221541
2025-09-16,AMZN6791445,Draft,Amazon.ca,SALTT30-FRUT,1.0,59.99,59.99,Order 702-4520985-6791445-24495221541_706,24495221541,706,702-4520985-6791445,Valid,24495221541
2025-09-15,AMZN4973052,Draft,Amazon.ca,SALTT30-GRPF,1.0,59.99,59.99,Order 702-5331135-4973052-24495221541_712,24495221541,712,702-5331135-4973052,Valid,24495221541
2025-09-13,AMZN5508243,Draft,Amazon.ca,SALTT30-CLEN,1.0,59.99,59.99,Order 702-2656129-5508243-24495221541_716,24495221541,716,702-2656129-5508243,Valid,24495221541
2025-09-13,AMZN3241041,Draft,Amazon.ca,SALTT30-LMLM,1.0,59.99,59.99,Order 702-9498794-3241041-24495221541_720,24495221541,720,702-9498794-3241041,Valid,24495221541
2025-09-15,AMZN8650628,Draft,Amazon.ca,SALTT15-ALLT,1.0,34.99,34.99,Order 702-6424903-8650628-24495221541_726,24495221541,726,702-6424903-8650628,Valid,24495221541
2025-09-15,AMZN2313806,Draft,Amazon.ca,SALTT30-ULTA,1.0,59.99,59.99,Order 702-6280630-2313806-24495221541_732,24495221541,732,702-6280630-2313806,Valid,24495221541
2025-09-16,AMZN2406665,Draft,Amazon.ca,SALTT30-ULTA,1.0,59.99,59.99,Order 702-8337775-2406665-24495221541_736,24495221541,736,702-8337775-2406665,Valid,24495221541
2025-09-13,AMZN3420261,Draft,Amazon.ca,SALTT30-ULTA,1.0,59.99,59.99,Order 701-3638128-3420261-24495221541_740,24495221541,740,701-3638128-3420261,Valid,24495221541
2025-09-15,AMZN3134615,Draft,Amazon.ca,SALTT15-FRUT,1.0,34.99,34.99,Order 701-8894237-3134615-24495221541_746,24495221541,746,701-8894237-3134615,Valid,24495221541
2025-09-13,AMZN2465869,Draft,Amazon.ca,SALTT30-CLEN,1.0,59.99,59.99,Order 701-3724549-2465869-24495221541_750,24495221541,750,701-3724549-2465869,Valid,24495221541
2025-09-12,AMZN2085822,Draft,Amazon.ca,SALTT30-ULTA,1.0,59.99,59.99,Order 702-7493164-2085822-24495221541_754,24495221541,754,702-7493164-2085822,Valid,24495221541
2025-09-14,AMZN4394628,Draft,Amazon.ca,SALTT15-ALLT,1.0,34.99,34.99,Order 702-7608000-4394628-24495221541_760,24495221541,760,702-7608000-4394628,Valid,24495221541
2025-09-15,AMZN9094603,Draft,Amazon.ca,SALTT30-CLEN,1.0,59.99,59.99,Order 702-5125680-9094603-24495221541_764,24495221541,764,702-5125680-9094603,Valid,24495221541
2025-09-13,AMZN7178647,Draft,Amazon.ca,SALTT30-CLEN,1.0,59.99,59.99,Order 701-9586212-7178647-24495221541_770,24495221541,770,701-9586212-7178647,Valid,24495221541
2025-09-13,AMZN9102603,Draft,Amazon.ca,SALTT15-FRUT,1.0,34.99,34.99,Order 702-8503602-9102603-24495221541_774,24495221541,774,702-8503602-9102603,Valid,24495221541
2025-09-16,AMZN5746669,Draft,Amazon.ca,SALTT30-ULTA,1.0,59.99,59.99,Order 701-5803254-5746669-24495221541_778,24495221541,778,701-5803254-5746669,Valid,24495221541
2025-09-14,AMZN3345056,Draft,Amazon.ca,SALTT30-CLEN,1.0,59.99,59.99,Order 702-8947812-3345056-24495221541_784,24495221541,784,702-8947812-3345056,Valid,24495221541
2025-09-13,AMZN2485865,Draft,Amazon.ca,SALTT15-ALLT,1.0,34.99,34.99,Order 702-3276519-2485865-24495221541_788,24495221541,788,702-3276519-2485865,Valid,24495221541
