Date,Reference Number,Journal Type,GL_Account,Description,Debit,Credit,Notes
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 1564 - Merchant Order ID: 701-8673700-7492268
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 1563 - Merchant Order ID: 701-8673700-7492268
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 1565 - Merchant Order ID: 701-8673700-7492268
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 1437 - Merchant Order ID: 702-1320748-2054639
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,5.44,Row ID: 1438 - Merchant Order ID: 702-1320748-2054639
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 1439 - Merchant Order ID: 702-1320748-2054639
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 1440 - Merchant Order ID: 702-1320748-2054639
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/ShippingChargeback,0.0,5.44,Row ID: 1441 - Merchant Order ID: 702-1320748-2054639
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1553 - Merchant Order ID: 701-9322945-2848216
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,7.95,0.0,Row ID: 1552 - Merchant Order ID: 701-9322945-2848216
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 1551 - Merchant Order ID: 701-9322945-2848216
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 1549 - Merchant Order ID: 701-9322945-2848216
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,7.95,0.0,Row ID: 1548 - Merchant Order ID: 701-9322945-2848216
