Invoice Number,Customer Name,Payment Amount,Payment Date,Paid Through Account,Payment Mode,Description,Reference Number,settlement_id
AMZN0259420,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1508 - Merchant Order ID: 702-9847544-0259420,24596907561,24596907561
AMZN0282634,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1642 - Merchant Order ID: 701-6362929-0282634,24596907561,24596907561
AMZN0285060,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1956 - Merchant Order ID: 701-9551718-0285060,24596907561,24596907561
AMZN0336257,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1944 - Merchant Order ID: 702-5925337-0336257,24596907561,24596907561
AMZN0350661,Amazon.ca,34.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1986 - Merchant Order ID: 702-1030602-0350661,24596907561,24596907561
AMZN0382663,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1572 - Merchant Order ID: 701-5447121-0382663,24596907561,24596907561
AMZN0397002,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1594 - Merchant Order ID: 702-0365478-0397002,24596907561,24596907561
AMZN0408214,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1828 - Merchant Order ID: 702-3803785-0408214,24596907561,24596907561
AMZN0414655,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1960 - Merchant Order ID: 702-4521504-0414655,24596907561,24596907561
AMZN0477801,Amazon.ca,119.98,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1476 - Merchant Order ID: 701-4673173-0477801,24596907561,24596907561
AMZN0478648,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 2064 - Merchant Order ID: 702-2800899-0478648,24596907561,24596907561
AMZN0506661,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1754 - Merchant Order ID: 701-5963071-0506661,24596907561,24596907561
AMZN0551449,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1932 - Merchant Order ID: 702-0865922-0551449,24596907561,24596907561
AMZN0656257,Amazon.ca,34.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1672 - Merchant Order ID: 702-9960188-0656257,24596907561,24596907561
AMZN0658618,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 2108 - Merchant Order ID: 702-2546708-0658618,24596907561,24596907561
AMZN0771415,Amazon.ca,34.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1786 - Merchant Order ID: 701-8277588-0771415,24596907561,24596907561
AMZN0845817,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1908 - Merchant Order ID: 702-5714090-0845817,24596907561,24596907561
AMZN1046653,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1730 - Merchant Order ID: 701-2282778-1046653,24596907561,24596907561
AMZN1063451,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1878 - Merchant Order ID: 702-9942838-1063451,24596907561,24596907561
AMZN1187448,Amazon.ca,59.99,2025-10-11,Amazon.ca Clearing,Direct Deposit,Row ID: 1566 - Merchant Order ID: 702-1644016-1187448,24596907561,24596907561
