settlement_id,invoice_number,expected_total
23874397121,AMZN6751437,35.0
24288684721,AMZN0001022,60.0
24288684721,AMZN1011436,60.0
24288684721,AMZN1108225,60.0
24288684721,AMZN1141052,60.0
24288684721,AMZN1371678,0.0
24288684721,AMZN1737843,60.0
24288684721,AMZN1750629,35.0
24288684721,AMZN2040201,60.0
24288684721,AMZN2315442,60.0
24288684721,AMZN2464206,60.0
24288684721,AMZN2531406,35.0
24288684721,AMZN2780236,60.0
24288684721,AMZN3899435,60.0
24288684721,AMZN3932270,60.0
24288684721,AMZN4170635,120.0
24288684721,AMZN4176203,60.0
24288684721,AMZN4274615,35.0
24288684721,AMZN4670666,35.0
24288684721,AMZN4926633,60.0
24288684721,AMZN4976266,60.0
24288684721,AMZN5082704,15.25
24288684721,AMZN6013037,60.0
24288684721,AMZN6027403,60.0
24288684721,AMZN6086626,120.0
24288684721,AMZN6596260,60.0
24288684721,AMZN6657829,60.0
24288684721,AMZN6949825,60.0
24288684721,AMZN7077824,60.0
24288684721,AMZN7561831,60.0
24288684721,AMZN7898625,60.0
24288684721,AMZN7931465,60.0
24288684721,AMZN8021855,60.0
24288684721,AMZN8278660,60.0
24288684721,AMZN8912250,120.0
24288684721,AMZN9809069,120.0
24288684721,AMZN9915433,60.0
24391894961,AMZN0046613,60.0
24391894961,AMZN0198669,60.0
24391894961,AMZN0220267,59.99
24391894961,AMZN0250631,35.0
24391894961,AMZN0346635,34.99
24391894961,AMZN0421860,59.99
24391894961,AMZN0482659,35.0
24391894961,AMZN0517844,59.99
24391894961,AMZN0669026,34.99
24391894961,AMZN0719458,59.99
24391894961,AMZN0798647,35.0
24391894961,AMZN0956253,59.99
24391894961,AMZN0987469,60.0
24391894961,AMZN1101826,60.0
24391894961,AMZN1137035,60.0
24391894961,AMZN1158631,35.0
24391894961,AMZN1222614,34.99
24391894961,AMZN1235459,35.0
24391894961,AMZN1257030,59.99
24391894961,AMZN1261839,60.0
24391894961,AMZN1658633,35.0
24391894961,AMZN2070628,59.99
24391894961,AMZN2088212,59.99
24391894961,AMZN2152201,59.99
24391894961,AMZN2281016,59.99
24391894961,AMZN2360215,119.98
24391894961,AMZN2429800,34.99
24391894961,AMZN2530629,34.99
24391894961,AMZN2583441,60.0
24391894961,AMZN2693034,59.99
