invoice_number,invoice_id,date,total,balance,reference_number
AMZN9953863,73985000000523195,2025-10-03,59.99,0.0,24596907561
AMZN9889819,73985000000522907,2025-09-30,59.99,0.0,24596907561
AMZN9830619,73985000000523179,2025-09-27,59.99,0.0,24596907561
AMZN9775446,73985000000522891,2025-09-27,59.99,0.0,24596907561
AMZN9699464,73985000000522875,2025-09-28,59.99,0.0,24596907561
AMZN9613058,73985000000523163,2025-09-27,59.99,0.0,24596907561
AMZN9426615,73985000000522859,2025-10-03,59.99,0.0,24596907561
AMZN9335477,73985000000523147,2025-09-30,34.99,0.0,24596907561
AMZN9332252,73985000000523131,2025-10-05,59.99,0.0,24596907561
AMZN9311424,73985000000523111,2025-10-04,119.98,0.0,24596907561
AMZN9250617,73985000000522843,2025-10-01,59.99,0.0,24596907561
AMZN9189046,73985000000522827,2025-10-02,34.99,0.0,24596907561
AMZN9175458,73985000000522811,2025-10-01,59.99,0.0,24596907561
AMZN9165048,73985000000522795,2025-09-30,59.99,0.0,24596907561
AMZN9155436,73985000000522779,2025-09-29,59.99,0.0,24596907561
AMZN8905857,73985000000523095,2025-09-29,59.99,0.0,24596907561
AMZN8896217,73985000000523075,2025-09-29,119.98,0.0,24596907561
AMZN8823443,73985000000522763,2025-10-06,59.99,0.0,24596907561
AMZN8748265,73985000000523059,2025-09-27,59.99,0.0,24596907561
AMZN8655404,73985000000522747,2025-10-01,59.99,0.0,24596907561
AMZN8648220,73985000000523043,2025-10-07,59.99,0.0,24596907561
AMZN8569065,73985000000522731,2025-09-29,59.99,0.0,24596907561
AMZN8489020,73985000000523027,2025-09-27,59.99,0.0,24596907561
AMZN8454624,73985000000523011,2025-10-02,59.99,0.0,24596907561
AMZN8331458,73985000000521995,2025-10-02,34.99,0.0,24596907561
AMZN8120255,73985000000522715,2025-09-30,59.99,0.0,24596907561
AMZN8046643,73985000000522699,2025-10-06,34.99,0.0,24596907561
AMZN7937815,73985000000522683,2025-10-07,59.99,0.0,24596907561
AMZN7911412,73985000000522667,2025-10-01,59.99,0.0,24596907561
AMZN7859443,73985000000521979,2025-10-09,59.99,0.0,24596907561
